2017_precip,2018_precip,2017_wind_speed_miles,2018_wind_speed_miles,2017_humidity,2018_humidity,2017_wind_degree,2018_wind_degree,2017_temp_F,2018_temp_F,2017_cloud_cover,2018_cloud_cover
0.0,0.2,7.0,6.0,81.0,66.0,291.0,275.0,60.0,55.0,60.0,55.0
0.1,0.0,8.0,7.0,83.0,61.0,214.0,314.0,57.0,61.0,57.0,61.0
0.0,0.0,11.0,4.0,75.0,58.0,298.0,272.0,60.0,68.0,60.0,68.0
0.0,0.0,9.0,4.0,68.0,63.0,311.0,109.0,68.0,64.0,68.0,64.0
0.0,0.0,6.0,6.0,71.0,72.0,270.0,230.0,68.0,63.0,68.0,63.0
0.0,0.1,13.0,8.0,68.0,72.0,301.0,259.0,62.0,63.0,62.0,63.0
0.0,0.0,14.0,5.0,50.0,60.0,298.0,243.0,67.0,72.0,67.0,72.0
0.0,0.2,4.0,7.0,63.0,72.0,192.0,236.0,70.0,63.0,70.0,63.0
0.0,0.0,4.0,6.0,78.0,75.0,245.0,252.0,71.0,62.0,71.0,62.0
0.0,0.0,6.0,6.0,66.0,70.0,288.0,260.0,67.0,63.0,67.0,63.0
0.0,0.1,4.0,7.0,69.0,73.0,239.0,234.0,66.0,61.0,66.0,61.0
0.0,0.1,4.0,7.0,55.0,69.0,234.0,243.0,67.0,63.0,67.0,63.0
3.0,0.4,11.0,7.0,67.0,68.0,151.0,219.0,59.0,63.0,59.0,63.0
0.5,0.6,13.0,8.0,83.0,73.0,215.0,227.0,60.0,62.0,60.0,62.0
0.7,0.2,10.0,7.0,75.0,72.0,266.0,244.0,54.0,62.0,54.0,62.0
0.0,0.0,4.0,4.0,70.0,70.0,259.0,281.0,58.0,71.0,58.0,71.0
0.1,0.0,5.0,6.0,76.0,74.0,223.0,255.0,61.0,63.0,61.0,63.0
0.4,1.8,7.0,9.0,81.0,74.0,182.0,251.0,59.0,60.0,59.0,60.0
0.4,0.0,11.0,9.0,83.0,63.0,209.0,294.0,60.0,57.0,60.0,57.0
0.7,0.0,14.0,5.0,75.0,63.0,255.0,300.0,57.0,65.0,57.0,65.0
0.0,0.0,8.0,4.0,65.0,66.0,311.0,268.0,60.0,71.0,60.0,71.0
0.0,0.4,3.0,9.0,68.0,73.0,240.0,243.0,63.0,61.0,63.0,61.0
0.0,1.6,6.0,9.0,78.0,69.0,165.0,256.0,57.0,54.0,57.0,54.0
0.0,0.0,3.0,4.0,86.0,64.0,182.0,242.0,61.0,62.0,61.0,62.0
0.0,0.0,5.0,5.0,84.0,60.0,237.0,267.0,63.0,59.0,63.0,59.0
0.0,0.0,6.0,5.0,79.0,69.0,205.0,270.0,64.0,63.0,64.0,63.0
0.0,0.0,7.0,5.0,73.0,69.0,284.0,247.0,65.0,69.0,65.0,69.0
0.0,0.0,4.0,3.0,67.0,67.0,259.0,226.0,70.0,73.0,70.0,73.0
0.0,0.0,7.0,3.0,74.0,64.0,251.0,229.0,64.0,75.0,64.0,75.0
0.0,0.0,12.0,3.0,75.0,62.0,274.0,217.0,63.0,76.0,63.0,76.0
0.0,0.0,11.0,5.0,84.0,71.0,264.0,252.0,58.0,69.0,58.0,69.0
0.0,0.0,9.0,6.0,79.0,76.0,277.0,252.0,63.0,66.0,63.0,66.0
0.0,0.1,9.0,8.0,91.0,76.0,244.0,251.0,61.0,62.0,61.0,62.0
